gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 1.767282970185150154e-02 2.124081946880942030e-03 7.209513593630918302e+06 5.247125564994492515e-05 3.379616567533717776e-05 7.284545296116640568e+08 2.695778191282050820e-06 7.574132061730350962e-06 6.776820039912252045e+10
9.999999999999999395e-12 1.767282970634966727e-02 2.124081946972662498e-03 7.209513593606011011e+06 5.247122794983823785e-05 3.379616566459546506e-05 7.284545294096292257e+08 2.695778191282050820e-06 7.574132061730350962e-06 6.776820039912252045e+10
1.000000000000000036e-10 1.767282969148556426e-02 2.124081946638148831e-03 7.209513593347717077e+06 5.247131343323509499e-05 3.379616573157017046e-05 7.284545293965371847e+08 2.695778191282050820e-06 7.574132061730350962e-06 6.776820039912252045e+10
1.000000000000000062e-09 1.767282961661413229e-02 2.124081944749369334e-03 7.209513590771631338e+06 5.247129398107391326e-05 3.379616571736168066e-05 7.284545295897904634e+08 2.695778191282050820e-06 7.574132061730350962e-06 6.776820039912252045e+10
1.000000000000000021e-08 1.767282879430510240e-02 2.124081924228874308e-03 7.209513565008339472e+06 5.247128333729196911e-05 3.379616570315569131e-05 7.284545284916546345e+08 2.695778191282050820e-06 7.574132061730350962e-06 6.776820039912252045e+10
9.999999999999999547e-08 1.767282053829067126e-02 2.124081717978566243e-03 7.209513307393272407e+06 5.247124951664460950e-05 3.379616568178088265e-05 7.284545275426660776e+08 2.691632816688138692e-06 7.563901531945237374e-06 6.776820039523062134e+10
9.999999999999999547e-07 1.767273803179955291e-02 2.124079657242954142e-03 7.209510731220278889e+06 5.247129411960382752e-05 3.379616561619169275e-05 7.284545222922617197e+08 2.690592284592815577e-06 7.561657759236482003e-06 6.776818767955445862e+10
1.000000000000000082e-05 1.767191302670639494e-02 2.124059051356100986e-03 7.209484969601273537e+06 5.247072003442112892e-05 3.379616433947057297e-05 7.284544693697718382e+08 2.691985231119473274e-06 7.565505644660710648e-06 6.776819812381642151e+10
1.000000000000000048e-04 1.766366552220136749e-02 2.123853087520387838e-03 7.209227363553467207e+06 5.246617353164068542e-05 3.379615219620956009e-05 7.284539296214278936e+08 2.699823042201730970e-06 7.584436080266492003e-06 6.776818312316956329e+10
1.000000000000000021e-03 1.758145061197162115e-02 2.121803021955122413e-03 7.206652315789340064e+06 5.242890846921875020e-05 3.379603471523042547e-05 7.284485360666141510e+08 2.697768230114194846e-06 7.579807626676455937e-06 6.776817570234529114e+10
1.000000000000000021e-02 1.678640319493788363e-02 2.102266548786557200e-03 7.181002711401098408e+06 5.281917550212538901e-05 3.379520809112215087e-05 7.283946151935873032e+08 2.703573629602031411e-06 7.593806665857869855e-06 6.776804258719422150e+10
1.000000000000000056e-01 1.280392938059971356e-02 2.008053083554262996e-03 6.934208955249476247e+06 1.058797407984128137e-04 3.382178089678495269e-05 7.278558469895360470e+08 2.824582270576340997e-06 7.844814714000241041e-06 6.776659894054100800e+10
1.000000000000000000e+00 8.954151365482400371e-02 5.810401089392530465e-03 5.160924470080681145e+06 9.405987800647564508e-04 3.736552336907960026e-05 7.225117667917411327e+08 5.632444410175962213e-06 1.239641586909815363e-05 6.775211652596572113e+10
1.000000000000000000e+01 3.170782367398170543e-01 3.533465663860852618e-02 1.453057007872598479e+06 8.838900152696047008e-03 1.618341925169991644e-04 6.730993636864279509e+08 4.467130065180853645e-05 8.092724906072411794e-05 6.760775664293156433e+10
