gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 2.617818340682331879e-01 1.733056139724467870e-01 nan 1.048105062630910606e-01 2.507379159467212210e-02 nan 3.623613371991432370e-03 2.795984707779024248e-03 nan
9.999999999999999395e-12 2.617818340578415004e-01 1.733056139723613553e-01 nan 1.048105060440490816e-01 2.507379159719329634e-02 nan 3.623613371991432370e-03 2.795984707779024248e-03 nan
1.000000000000000036e-10 2.617818340605956307e-01 1.733056139723740674e-01 nan 1.048105057646962768e-01 2.507379159619155945e-02 nan 3.623613371991432370e-03 2.795984707779024248e-03 nan
1.000000000000000062e-09 2.617818340484776019e-01 1.733056139723162525e-01 nan 1.048105055836184851e-01 2.507379159533332930e-02 nan 3.623613387761386723e-03 2.795984714145468512e-03 nan
1.000000000000000021e-08 2.617818338821337187e-01 1.733056139712273735e-01 nan 1.048105059012885004e-01 2.507379159629053583e-02 nan 3.623614366192449456e-03 2.795985412938351011e-03 nan
9.999999999999999547e-08 2.617818322113192875e-01 1.733056139605642920e-01 nan 1.048105071248025683e-01 2.507379159471669755e-02 nan 3.623609842605054598e-03 2.795982872082399592e-03 nan
9.999999999999999547e-07 2.617818156191242251e-01 1.733056138548116354e-01 nan 1.048105044313691891e-01 2.507379159465081622e-02 nan 3.623621508862483014e-03 2.795990511301846716e-03 nan
1.000000000000000082e-05 2.617816496932240944e-01 1.733056127973410798e-01 nan 1.048104975136205652e-01 2.507379158699305291e-02 nan 3.623624304865243496e-03 2.795993970187190224e-03 nan
1.000000000000000048e-04 2.617799904947300527e-01 1.733056022229711446e-01 nan 1.048104196192062992e-01 2.507379151340977455e-02 nan 3.623610920155720481e-03 2.795987113806440178e-03 nan
1.000000000000000021e-03 2.617634062421754781e-01 1.733054965236270895e-01 nan 1.048096412234433561e-01 2.507379077161032976e-02 nan 3.623587222242579970e-03 2.795972521263603763e-03 nan
1.000000000000000021e-02 2.615983302461555859e-01 1.733044439539264403e-01 nan 1.048018574500611810e-01 2.507378336593229368e-02 nan 3.623424489986200574e-03 2.795861143683462443e-03 nan
1.000000000000000056e-01 2.600213451230138917e-01 1.732943503693758491e-01 nan 1.047241702545390896e-01 2.507370936151723240e-02 nan 3.621784691121308040e-03 2.794783205452588438e-03 nan
1.000000000000000000e+00 2.495060855763314989e-01 1.732283673456179174e-01 nan 1.039615840522049584e-01 2.507297608329794175e-02 nan 3.605160991081730187e-03 2.783867917400359004e-03 nan
1.000000000000000000e+01 2.365044200874701907e-01 1.736566947667751437e-01 nan 9.756298001275634513e-02 2.506626154740056525e-02 nan 3.441077667978920292e-03 2.677205729128795311e-03 nan
