gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 7.525699730186330080e-03 6.541190866226864438e-04 nan 4.190595057146065578e-05 2.800884509757186226e-06 nan 5.144462541540004047e-07 1.737527333671441993e-07 nan
9.999999999999999395e-12 7.525699262989482899e-03 6.541190802114958550e-04 nan 4.190569271864157596e-05 2.800918884233698976e-06 nan 4.166570490456407978e-07 1.539112209345840312e-07 nan
1.000000000000000036e-10 7.525694790575260945e-03 6.541190202369239967e-04 nan 4.190007422806504177e-05 2.801280991034466984e-06 nan 4.176474093088990016e-07 1.580519700235458898e-07 nan
1.000000000000000062e-09 7.525649759393687396e-03 6.541184167533584679e-04 nan 4.182658423962012511e-05 2.804902499414946078e-06 nan 3.762956089986480902e-07 1.479438920235727911e-07 nan
1.000000000000000021e-08 7.525199534436486162e-03 6.541123829222588847e-04 nan 4.115299452740830445e-05 2.842984564664791740e-06 nan 3.016555534075966262e-07 1.538562858934392351e-07 nan
9.999999999999999547e-08 7.520697529422079759e-03 6.540520626403864947e-04 nan 3.623780068461361447e-05 3.341659989139896531e-06 nan 3.571310345259635877e-07 2.160306984041709296e-07 nan
9.999999999999999547e-07 7.475690793748553976e-03 6.534504912872325481e-04 nan 3.181797957006550140e-05 8.203458001951047647e-06 nan 1.163977494903060881e-06 1.238804429799746037e-06 nan
1.000000000000000082e-05 7.027019531377617055e-03 6.475993650655735871e-04 nan 5.564317435493222776e-05 2.708188092097383218e-05 nan 3.018465586200942769e-06 8.889124500822380567e-06 nan
1.000000000000000048e-04 2.908647945827480454e-03 6.070490304357011816e-04 nan 1.187788141396700615e-04 8.741332644554733629e-05 nan 4.611267077812488518e-06 3.709460578905753584e-05 nan
1.000000000000000021e-03 4.386057684518664124e-02 1.529488838185988136e-03 nan 5.805025645014145726e-04 2.849185297378158946e-04 nan 9.654215868582413291e-06 1.864599877591024415e-04 nan
1.000000000000000021e-02 4.297653310989495989e-01 1.524288958521479408e-02 nan 3.124085938228330066e-03 1.032977389750491890e-03 nan 1.463642503307664952e-05 8.919895118187353301e-04 nan
1.000000000000000056e-01 1.903797623638478598e+00 1.043688821191978977e-01 nan 1.023047422679317434e-02 4.636326610561358925e-03 nan 2.342264403302364150e-05 4.776127928564090873e-03 nan
1.000000000000000000e+00 4.118820357986146874e+00 4.865125722842273959e-01 nan 4.006546024730097549e-02 2.107820265981431851e-02 nan 1.472744023418731153e-04 4.938060868703726680e-02 nan
1.000000000000000000e+01 7.747241158294881025e+00 2.125908153977988491e+00 nan 1.052796304324627313e-01 8.230617097243893288e-02 nan 1.134746679400339001e-03 7.954472832146349814e-01 nan
