gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 2.627525814107027902e-01 1.733160185408185727e-01 nan 1.579717155507587845e-01 2.508343752106762664e-02 nan 5.440902483557194351e-03 2.569717765727900366e-03 nan
9.999999999999999395e-12 2.627525775840706679e-01 1.733160185025379718e-01 nan 1.579693706160607836e-01 2.508343717073244911e-02 nan 5.439803123285341137e-03 2.569322862727551910e-03 nan
1.000000000000000036e-10 2.627525393448414959e-01 1.733160181202395289e-01 nan 1.579459846614373331e-01 2.508343369143068574e-02 nan 5.430359611473732813e-03 2.565957870361407732e-03 nan
1.000000000000000062e-09 2.627521570263703921e-01 1.733160142980830765e-01 nan 1.577130282831736008e-01 2.508339899551898650e-02 nan 5.338641928349094519e-03 2.533385743414807989e-03 nan
1.000000000000000021e-08 2.627483340510849974e-01 1.733159760778645586e-01 nan 1.554738767387726095e-01 2.508306267466503189e-02 nan 4.723579937649123595e-03 2.326254268689931671e-03 nan
9.999999999999999547e-08 2.627101340314206834e-01 1.733155941334138250e-01 nan 1.394111242121024441e-01 2.508046621928818748e-02 nan 3.749974027350856057e-03 2.216928116650580642e-03 nan
9.999999999999999547e-07 2.623311070046357441e-01 1.733118004093719411e-01 nan 9.677624437026495496e-02 2.507324656402742241e-02 nan 3.397203135166422441e-03 4.210975796972877064e-03 nan
1.000000000000000082e-05 2.588403216985776800e-01 1.732764286228603290e-01 nan 5.337802887406004754e-02 2.538783202361218072e-02 nan 3.865478745047756445e-03 1.509125437600240642e-02 nan
1.000000000000000048e-04 2.542891285359717424e-01 1.731727128676240901e-01 nan 6.033210014160222956e-02 2.975305167752888280e-02 nan 8.731042083479330709e-03 9.203401177516057352e-02 nan
1.000000000000000021e-03 9.324964662375989644e-01 1.908419381781202850e-01 nan 9.416365614142251095e-02 5.989811391122974032e-02 nan 2.115857912662891943e-02 5.985586118403494194e-01 nan
1.000000000000000021e-02 2.746800513952240230e+00 5.447846944189137508e-01 nan 1.477701705172667634e-01 2.056406481727768021e-01 nan 4.036730505421649851e-02 3.234450835253923628e+00 nan
1.000000000000000056e-01 3.717719040611021875e+00 2.141571116165485122e+00 nan 2.429354247291607150e-01 8.070880756174914072e-01 nan 6.433554168155532216e-02 1.672990340748442861e+01 nan
1.000000000000000000e+00 5.613704708963336287e+00 8.482205880218707250e+00 nan 3.907725076346948989e-01 3.168710839514794486e+00 nan 2.155534841740858742e-01 1.442273705762478357e+02 nan
1.000000000000000000e+01 1.058914951582283059e+01 3.819813209871907844e+01 nan 1.059780223066753901e+00 1.177833472969729200e+01 nan 6.078724019246874999e-01 1.014013448188608891e+03 nan
