gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 1.039436370293820439e-02 3.257217593024730093e-04 6.142788827355843929e-04 2.148681507542425296e-06 1.394984112260030853e-03 8.313246192652067921e-07
1.000000000000000030e-13 1.039422590233077780e-02 3.257216463825232514e-04 5.959373631011052235e-04 2.148200493879849142e-06 1.229167426197377497e-03 1.300784748864902427e-06
9.999999999999999799e-13 1.039285289110022242e-02 3.257205223186374976e-04 5.561566127751216932e-04 2.147317743783071642e-06 4.290726969139882843e-04 1.525771970527098898e-06
9.999999999999999395e-12 1.037965093146231421e-02 3.257095787483610654e-04 4.435941658023429468e-04 2.145399783607645754e-06 9.719780707423595852e-05 8.318116923010066890e-07
1.000000000000000036e-10 1.027395121033515719e-02 3.256193622044951572e-04 2.670268010341077117e-04 2.143199925431090344e-06 1.532560260125212769e-05 3.345248594464745117e-07
1.000000000000000062e-09 9.710716186934814295e-03 3.251660499547404820e-04 1.102677175604226269e-04 2.147660686712583092e-06 9.119061332237133848e-07 4.895963050155802381e-08
1.000000000000000021e-08 7.963820390270564056e-03 3.236227713419783259e-04 5.592175923625381808e-05 2.225591329550264488e-06 3.636254664453474756e-07 6.199101048872416578e-08
9.999999999999999547e-08 5.282895280968939213e-03 3.214241123257909256e-04 3.834846665409044370e-05 2.933403590505961415e-06 3.089335970491103079e-07 1.780727607011029732e-07
9.999999999999999547e-07 2.537247085513783841e-03 3.291331294125277398e-04 2.873964544646609765e-05 6.924559104513122012e-06 9.326578411957610054e-07 9.178764857761375258e-07
1.000000000000000082e-05 3.776630425009864112e-03 5.313032183992127825e-04 3.758553227583586804e-05 2.134469207309602336e-05 2.621635702475512585e-06 7.022133311048181240e-06
1.000000000000000048e-04 1.678640319350627880e-02 2.102266548764479808e-03 9.086323279277244550e-05 6.794707230014092282e-05 3.950100082714659241e-06 2.874244862807448563e-05
1.000000000000000021e-03 4.655364529594226142e-02 1.034689001165003085e-02 4.543401757423557981e-04 2.210327877345913091e-04 8.689030921552412003e-06 1.488733420048861042e-04
1.000000000000000021e-02 1.144692212776247248e-01 5.031221762461578206e-02 2.533481296166702895e-03 8.082363801414380131e-04 1.596515141213080601e-05 7.976094702892392056e-04
1.000000000000000056e-01 1.701153206748383662e-01 2.100669019374064306e-01 1.021131165435129606e-02 3.385207065837211437e-03 2.330226174580715559e-05 4.220904748997351269e-03
1.000000000000000000e+00 3.113837534056674849e-01 7.633504938523100192e-01 4.776025082104499997e-02 1.364257249470103399e-02 2.140874364560928504e-04 3.637640914862617925e-02
1.000000000000000000e+01 1.934098929328706751e+00 2.810023454213162353e+00 1.530295544785072737e-01 5.654728415151272919e-02 8.589103815011392201e-04 4.665769687666254661e-01
