gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 2.460686379596177087e+00 1.750662394849891723e-01 nan 4.493742652821793193e+00 2.529826741054613110e-02 nan 2.845660623520954169e-01 1.739457603368575614e-03 nan
9.999999999999999395e-12 2.458483414973619219e+00 1.750606082492152382e-01 nan 3.837783766100334226e+00 2.529187527278037306e-02 nan 6.327122859013240008e-02 1.495784956406826785e-03 nan
1.000000000000000036e-10 2.451959660016604481e+00 1.750359365792507060e-01 nan 2.346533215123248084e+00 2.531635128122145320e-02 nan 2.481462633873062276e-02 1.169215324165786369e-03 nan
1.000000000000000062e-09 2.395977967867415792e+00 1.750465689109098333e-01 nan 9.473795223238424823e-01 2.516045752785836878e-02 nan 2.014917097243421051e-02 2.024391841673213281e-03 nan
1.000000000000000021e-08 1.746566264454013417e+00 1.748743607215812179e-01 nan 5.149749487606127829e-01 2.507023999319467344e-02 nan 9.839047757790668827e-03 2.473529913559944192e-03 nan
9.999999999999999547e-08 8.144866689275351845e-01 1.738652901091437553e-01 nan 2.358093833596464073e-01 2.509183118258780792e-02 nan 3.582594491900299716e-03 2.096560696886753949e-03 nan
9.999999999999999547e-07 3.268624466231698222e-01 1.731785876712303440e-01 nan 9.135389812136114618e-02 2.506976527947301497e-02 nan 3.296671887850576195e-03 4.305818195132445243e-03 nan
1.000000000000000082e-05 2.462459465222111843e-01 1.751733696026515630e-01 nan 4.299214279888144419e-02 2.551586272036524342e-02 nan 3.905683615650536265e-03 1.610724554318214777e-02 nan
1.000000000000000048e-04 2.496797786153941157e-01 1.997185264578311414e-01 nan 5.052278860406386740e-02 3.094583456131334148e-02 nan 9.384370602866971139e-03 1.027590313147884182e-01 nan
1.000000000000000021e-03 2.323481139725065425e-01 3.650892179433223861e-01 nan 7.399448864608475229e-02 6.511015876084441656e-02 nan 2.297810849630894589e-02 6.738717040317417917e-01 nan
1.000000000000000021e-02 2.182062948762845678e-01 1.100538604721949421e+00 nan 1.269233124819762193e-01 2.181968577587671543e-01 nan 4.402424219096677527e-02 3.599506953938459652e+00 nan
1.000000000000000056e-01 4.855698226858553013e-01 5.006415100718894173e+00 nan 2.277978282129702603e-01 8.088813696340526604e-01 nan 7.465517964878284896e-02 1.809901765694779030e+01 nan
1.000000000000000000e+00 1.030861961183546560e+00 2.739119330117118523e+01 nan 2.994558278413161356e-01 2.824859766839018960e+00 nan 1.142928972825587447e-01 8.375368011285175385e+01 nan
1.000000000000000000e+01 1.598345710621482230e+00 1.159708858080762610e+02 nan 7.113903475556077050e-01 9.793389093314250005e+00 nan 1.308176410250310173e-01 2.922528489078657685e+02 nan
