gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 9.352234552474641971e-01 1.790135358841521765e-02 9.349221724196379089e+10 1.649114034480786417e-01 4.734647857688014717e-04 6.640006100001961719e+13 3.165591074699309823e-03 3.611037648192319690e-05 5.961154020321518750e+14
9.999999999999999395e-12 8.918326816538978408e-01 1.788495736285294554e-02 3.777047665747960663e+10 1.200393512576629212e-01 4.734184739390298667e-04 3.215371639019172266e+13 3.296059448520605260e-03 3.705256958645088448e-05 8.810891885311960000e+14
1.000000000000000036e-10 6.918394596091944626e-01 1.783397995878784406e-02 2.078660544618444443e+10 5.842271155125794424e-02 4.731876023952875910e-04 7.592629724846036133e+12 2.226043833837361170e-03 4.073713050206719417e-05 9.320319156586937500e+14
1.000000000000000062e-09 3.613293905869501277e-01 1.774165498842522615e-02 6.339578525284168243e+09 2.637908719669926350e-02 4.731343431391255125e-04 1.259743178066590576e+12 6.621364151192908479e-04 3.882111476858521277e-05 1.727613268425068750e+14
1.000000000000000021e-08 1.889923686185510654e-01 1.765750602041275819e-02 1.220595699312033176e+09 1.253791745869714015e-02 4.760486356763590646e-04 2.231933979361431580e+11 3.226762397780297731e-04 4.947783768070119961e-05 3.028078335194823828e+13
9.999999999999999547e-08 1.192526179710464568e-01 1.762908708270092412e-02 2.229859721285494566e+08 1.028498601201758948e-02 5.106821636809030741e-04 3.928978440190591431e+10 1.319210134931209782e-03 2.589549022652281761e-04 5.374268163394892578e+12
9.999999999999999547e-07 8.222160857892435448e-02 1.872549188543580490e-02 4.150484544202892482e+07 1.281300558608024220e-02 8.354914843186873148e-04 7.371582967943905830e+09 3.776454695639613023e-03 1.926017520748403954e-03 1.030090036514719116e+12
1.000000000000000082e-05 7.850543264712177283e-02 3.162669634300880467e-02 9.150998180877933279e+06 1.817330192876225742e-02 2.406354276258901477e-03 1.562213885927661180e+09 9.702817033566370902e-03 1.328460290975026249e-02 2.048443320262667236e+11
1.000000000000000048e-04 1.144616461607061014e-01 1.140678095999527603e-01 5.242566593511436135e+06 3.259542545837949834e-02 7.896271787701907019e-03 3.457181881338980198e+08 2.214786797093078879e-02 8.383914450784585304e-02 4.283352879804205322e+10
1.000000000000000021e-03 2.292571436397128348e-01 4.346713494256707055e-01 2.292570418323010672e+06 6.133215975232585854e-02 2.832415118267848919e-02 9.705570714300109446e+07 4.566621445785569444e-02 4.816674024296240808e-01 9.790295528456960678e+09
1.000000000000000021e-02 5.297317454243520851e-01 1.510158760043007753e+00 6.158101096000596881e+05 9.267362945230607496e-02 1.275382796127250140e-01 5.626181743887294829e+07 7.088082262475768613e-02 2.175405521994935754e+00 4.682709956676457405e+09
1.000000000000000056e-01 7.807167928450783334e-01 6.180729267492941048e+00 4.963621021773513639e+05 2.405708797987303471e-01 6.215625323950214609e-01 2.668572088932721317e+08 7.286212451242707333e-02 6.496295857378495242e+00 1.397725404793799400e+10
1.000000000000000000e+00 8.178799764282731477e-01 3.192716423581784824e+01 7.453943092888680985e+05 3.751191913911607334e-01 2.397210938935883995e+00 1.652580396953534126e+09 7.999707528979327353e-02 1.725518875580628730e+01 7.268335570020817566e+10
1.000000000000000000e+01 9.664725273588492538e-01 1.328773291170466564e+02 1.433972941487623844e+06 5.268560870512073446e-01 8.284243437979611713e+00 7.311085178268596649e+09 1.337077357909612352e-01 7.154093197333165222e+01 4.349677316195536499e+11
