k k-norm-order1 
1.000000000000000000e+00 4.032946208159853829e-01
2.000000000000000000e+00 7.723035367939985463e-01
3.000000000000000000e+00 1.252329219429247908e+00
4.000000000000000000e+00 1.749509090901341546e+00
5.000000000000000000e+00 2.256731001113211121e+00
6.000000000000000000e+00 2.864906258849881038e+00
7.000000000000000000e+00 3.103756514261321264e+00
8.000000000000000000e+00 3.895321084378724041e+00
9.000000000000000000e+00 3.864286227270265606e+00
1.000000000000000000e+01 4.266506625874903591e+00
