k k-norm-order2 
1.000000000000000000e+00 7.826559235321758901e-02
2.000000000000000000e+00 5.313736211368114831e-02
3.000000000000000000e+00 7.186242358182325096e-02
4.000000000000000000e+00 1.011805418140874352e-01
5.000000000000000000e+00 1.703514080971390565e-01
6.000000000000000000e+00 2.714249554724862401e-01
7.000000000000000000e+00 3.148877498814935394e-01
8.000000000000000000e+00 7.137974611913424638e-01
9.000000000000000000e+00 5.758664940279438760e-01
1.000000000000000000e+01 8.001019024360136456e-01
