k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.520093851879532498e-01 7.961238736337745980e-02
2.000000000000000000e+00 9.882941167967013163e-01 1.967937496743084602e-01
3.000000000000000000e+00 1.580889559619282014e+00 3.575333294237807436e-01
4.000000000000000000e+00 2.197968390798986871e+00 8.185502271295344023e-01
5.000000000000000000e+00 2.690970092985398576e+00 1.106027336271409034e+00
6.000000000000000000e+00 3.484133040435748452e+00 4.960385712716416928e-01
7.000000000000000000e+00 3.610721413783893219e+00 1.281869601292099148e+00
8.000000000000000000e+00 4.180870272821679556e+00 1.097255627423955771e+00
9.000000000000000000e+00 4.822841749597165162e+00 1.356473470693514871e+00
1.000000000000000000e+01 5.444110835124098990e+00 1.109667747571545737e+00
