k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.506999499752567528e-01 4.197714218730802749e+00
2.000000000000000000e+00 9.861253059546374322e-01 1.577128235252038380e+01
3.000000000000000000e+00 1.577698396085757349e+00 1.948148770244972283e+01
4.000000000000000000e+00 2.197729770324214016e+00 5.770741347586704251e+01
5.000000000000000000e+00 2.689861225725413973e+00 7.344188912887611309e+01
6.000000000000000000e+00 3.483342532228656196e+00 5.507299408385783579e+01
7.000000000000000000e+00 3.607268998974592744e+00 1.126378789740523985e+02
8.000000000000000000e+00 4.175518124880921889e+00 2.153549055220910873e+02
9.000000000000000000e+00 4.819025804791869483e+00 7.512021482254320404e+01
1.000000000000000000e+01 5.441316805266092516e+00 2.009296057247450449e+02
