k k-norm-order2 
1.000000000000000000e+00 2.539877450730540845e-02
2.000000000000000000e+00 4.002419828390445938e-02
3.000000000000000000e+00 5.833306617159868257e-02
4.000000000000000000e+00 7.841254955944512717e-02
5.000000000000000000e+00 9.077066036057862553e-02
6.000000000000000000e+00 1.119354767404636269e-01
7.000000000000000000e+00 1.256197551644867016e-01
8.000000000000000000e+00 1.431800109351365480e-01
9.000000000000000000e+00 1.616234455140754256e-01
1.000000000000000000e+01 1.834572180057035262e-01
