k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.342921528441276435e-01 3.032701711094876185e-02
2.000000000000000000e+00 9.262307023298074204e-01 5.846266543070975652e-02
3.000000000000000000e+00 1.450653850102838094e+00 9.562635787728657188e-02
4.000000000000000000e+00 2.003343611235794519e+00 1.335475885145497588e-01
5.000000000000000000e+00 2.472132933146628186e+00 1.635527617394280098e-01
6.000000000000000000e+00 2.972699876337282276e+00 1.973876208623160100e-01
7.000000000000000000e+00 3.483728853727165564e+00 2.316225688833265239e-01
8.000000000000000000e+00 3.969655031890122476e+00 2.632698028768825083e-01
9.000000000000000000e+00 4.472403462080182912e+00 2.974104359295277056e-01
1.000000000000000000e+01 4.971469053813667216e+00 3.292588583466714569e-01
