k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.342994519213590476e-01 3.034688870733906821e-02
2.000000000000000000e+00 9.262439531963432282e-01 5.848496813388036342e-02
3.000000000000000000e+00 1.450677131542716047e+00 9.566029373488842136e-02
4.000000000000000000e+00 2.003375411392913641e+00 1.336033297672914455e-01
5.000000000000000000e+00 2.472173185940556017e+00 1.636181105803208580e-01
6.000000000000000000e+00 2.972746754448472473e+00 1.974517595306927442e-01
7.000000000000000000e+00 3.483783195130845556e+00 2.317050600835871277e-01
8.000000000000000000e+00 3.969715571483149130e+00 2.633621309561521295e-01
9.000000000000000000e+00 4.472470726197562030e+00 2.975180441848130353e-01
1.000000000000000000e+01 4.971543884450578155e+00 3.293740271643206818e-01
