k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 2.165401105656806102e+00 1.056621173130192659e+00
2.000000000000000000e+00 1.769643218517869210e+00 1.814438837432711393e+00
3.000000000000000000e+00 2.731293655677586862e+00 4.205235215087062883e+00
4.000000000000000000e+00 3.409980869758340472e+00 6.911574392155650948e+00
5.000000000000000000e+00 3.673713643582277921e+00 1.043656054238835296e+01
6.000000000000000000e+00 5.331284068694785994e+00 9.589469941299514133e+00
7.000000000000000000e+00 5.536623021142052181e+00 1.492557006957905585e+01
8.000000000000000000e+00 6.092344837189878071e+00 1.330969281378304103e+01
9.000000000000000000e+00 6.691221370484984554e+00 1.652150929917227273e+01
1.000000000000000000e+01 7.425823914755834920e+00 1.897566013552696162e+01
