k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.197742042733884071e-01 2.980328984488243849e-02
2.000000000000000000e+00 8.911214476623012803e-01 5.747632217429238244e-02
3.000000000000000000e+00 1.390736058472107128e+00 9.397003894609630426e-02
4.000000000000000000e+00 1.917871029526525328e+00 1.311819006310332991e-01
5.000000000000000000e+00 2.364406967891992117e+00 1.606889346914759376e-01
6.000000000000000000e+00 2.843912239018727917e+00 1.939300593466849743e-01
7.000000000000000000e+00 3.333338869406325955e+00 2.275460470905224242e-01
8.000000000000000000e+00 3.799952247296869423e+00 2.586473840784195843e-01
9.000000000000000000e+00 4.281452708188948186e+00 2.921500994462107870e-01
1.000000000000000000e+01 4.758539976168163044e+00 3.234588443583031325e-01
