gamma-Jump l2-order1 s-order1 cond1 l2-order2 s-order2 cond2 l2-order3 s-order3 cond3 
1.000000000000000036e-10 3.983387083925520322e-01 1.723654515472258439e-02 1.922180799336988449e+09 3.094167937158538995e-01 5.143527904307467185e-04 1.055723589083206055e+13 1.094142354593482386e-01 1.864754737695747608e-02 8.088259522346428750e+14
1.000000000000000062e-09 3.983301832677676457e-01 1.723651224865883902e-02 1.922168725118837118e+09 3.091781489008374462e-01 5.144408722266362007e-04 1.054632977589668750e+13 1.050800532360234435e-01 2.010254543561173016e-02 8.012292794233855000e+14
1.000000000000000021e-08 3.982449804618947709e-01 1.723618329140212332e-02 1.922047991257762671e+09 3.069968309416455932e-01 5.153885364582516063e-04 1.043650171845356641e+13 9.901649589285446695e-02 2.032174921644173959e-02 7.401533871904690000e+14
9.999999999999999547e-08 3.973970501404800459e-01 1.723290311301906366e-02 1.920841493799667120e+09 2.885718903701774973e-01 5.276606465888295698e-04 9.481634208549292969e+12 3.974905209788986982e-02 1.299240607922074082e-02 8.582270429570856250e+14
9.999999999999999547e-07 3.893303468495828978e-01 1.720103757486081755e-02 1.908860051239648104e+09 2.321923252009232830e-01 7.098756758924642868e-04 5.361529658747603516e+12 1.256334148653648342e-01 5.003498308528533250e-02 1.268810073235279000e+15
1.000000000000000082e-05 3.512840083921242029e-01 1.697402466333374979e-02 1.796849736293770075e+09 2.698993048947176399e-01 1.838951932384184744e-03 1.327997875477475586e+12 1.561236859444494474e-01 2.130138324342104594e-01 7.879496603303586250e+14
1.000000000000000048e-04 1.068071185349363628e+00 2.132096300492776486e-02 1.134960764822348833e+09 3.308071489940833665e-01 5.784653230200443620e-03 3.371671690733118896e+11 2.107767081497973483e-01 6.436555419274733181e-01 1.817821325559265312e+14
1.000000000000000021e-03 2.957588146610412139e+00 1.135169325806461432e-01 2.527731726007916927e+08 7.934940675739290405e-01 1.879716448429092496e-02 8.808491933847958374e+10 4.671490041770017809e-01 3.202682315435550375e+00 7.873456112468023438e+13
1.000000000000000021e-02 6.349477987904292853e+00 6.067264873986746299e-01 3.501941623808216304e+07 1.450849888988084313e+00 6.425093562800512914e-02 8.745990625495646667e+10 8.865212967384157317e-01 1.829685112168912653e+01 1.489091790183943125e+14
1.000000000000000056e-01 8.578180796005399955e+00 2.336512236776345564e+00 4.777604972328193486e+06 2.181510579427818453e+00 2.345389293040735512e-01 1.753659074336130676e+11 1.632741144650217802e+00 1.098119901930807458e+02 3.601737078956487500e+14
1.000000000000000000e+00 9.693374475034008952e+00 7.965106950568533684e+00 8.390706941016181372e+05 2.764043470921540457e+00 8.866851774934286778e-01 3.557533237399364014e+11 3.412260492210926976e+00 7.073787317183902132e+02 1.234820414934697750e+15
1.000000000000000000e+01 1.076935580373585744e+01 2.608268748097941980e+01 1.637125285234687617e+05 3.802193301505438772e+00 3.243884510726841253e+00 5.895836979431356201e+11 6.696818598722106053e+00 4.102028978129205825e+03 3.840769588990481500e+15
