gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 5.228372797568568986e-01 2.480766005373363781e-02 4.539526153375723072e-01 1.164700901478783832e-03 2.442624348846858251e-01 2.115687934527389971e-02
1.000000000000000030e-13 5.228372793149739239e-01 2.480766004266913780e-02 4.539594175410526788e-01 1.164701086966088168e-03 2.452802872024983094e-01 2.113846149832038918e-02
9.999999999999999799e-13 5.228372779582394214e-01 2.480765992203365702e-02 4.539540331217921665e-01 1.164701209641814082e-03 2.400240823846936655e-01 2.090147271431884793e-02
9.999999999999999395e-12 5.228372696664642660e-01 2.480765872657748894e-02 4.539524010125057241e-01 1.164702606908149269e-03 2.417721097718048551e-01 2.108599117166488554e-02
1.000000000000000036e-10 5.228371821245416662e-01 2.480764676190387943e-02 4.539339731513213350e-01 1.164715486235835427e-03 2.498111168274074756e-01 2.134130674875911807e-02
1.000000000000000062e-09 5.228363036040997169e-01 2.480752712323056053e-02 4.537303100905366593e-01 1.164848255070591396e-03 2.432260672581100236e-01 2.115831899126985327e-02
1.000000000000000021e-08 5.228276429102661771e-01 2.480633127221191364e-02 4.520199684944517515e-01 1.166560766011444676e-03 2.320020912733004037e-01 2.156982803364734802e-02
9.999999999999999547e-08 5.227522278169079994e-01 2.479442636209578527e-02 4.541958101219302768e-01 1.207732895237966430e-03 1.697209198314184875e-01 2.720952807631486781e-02
9.999999999999999547e-07 5.230175601154237741e-01 2.468070683798550408e-02 6.689610555716168916e-01 1.877160554493509815e-03 4.686751309514094466e-01 1.305470693912523794e-01
1.000000000000000082e-05 5.687113199634831195e-01 2.405289160459679262e-02 1.130627104563839636e+00 5.383160305139038718e-03 6.384201208336750533e-01 4.914227161907411823e-01
1.000000000000000048e-04 8.485929715553014452e-01 4.536674997730746894e-02 1.088284620651737367e+00 1.716727899063688265e-02 7.824748861249991583e-01 1.599070350260193063e+00
1.000000000000000021e-03 2.347999845286310450e+00 2.842636349602121748e-01 1.120128580112040195e+00 5.564656872866175635e-02 1.174731030711850810e+00 7.169228344499888550e+00
1.000000000000000021e-02 4.705196182949379136e+00 1.292318350101501645e+00 1.638986178378548875e+00 1.935003083711891447e-01 2.472139003223776221e+00 4.695639645398159701e+01
1.000000000000000056e-01 5.822125350961725232e+00 4.615503805328120102e+00 1.689825683126912281e+00 7.366521334326695536e-01 4.392219262228421073e+00 2.638979553519439492e+02
1.000000000000000000e+00 6.666506654802393683e+00 1.523353093740647957e+01 2.053253304183908945e+00 2.875521888237076773e+00 6.622832578127677117e+00 1.354945988607040135e+03
1.000000000000000000e+01 7.037365937542950256e+00 4.907186263180079777e+01 3.278283800025116879e+00 1.076735610197543913e+01 9.015391849094624988e+00 6.253769370387222807e+03
