gamma-Jump l2-order1 s-order1 cond1 l2-order2 s-order2 cond2 l2-order3 s-order3 cond3 
1.000000000000000036e-10 3.125445826754522649e-01 4.716676598782181332e-03 2.887230103145954514e+10 1.379063128078489298e-01 5.095985373612631344e-05 5.395359705734922656e+13 3.463274496766790556e-01 1.764016776960198414e-03 7.893831054085988750e+14
1.000000000000000062e-09 3.056271095218883738e-01 4.715647569557696907e-03 1.455060985420586395e+10 1.181343798320265426e-01 5.252822258417133214e-05 4.637247073380426562e+13 5.791621995721316640e-01 8.759149899168728118e-03 6.215135865909798750e+14
1.000000000000000021e-08 2.707476510164323336e-01 4.718245713201160707e-03 9.949928146081733704e+09 8.231284356192233864e-02 7.744647096524194735e-05 3.596756710029232812e+13 3.124388417311313795e-02 2.175922472468025479e-03 9.742492234642788750e+14
9.999999999999999547e-08 1.942262139533819654e-01 4.989686230558043264e-03 7.145426136382993698e+09 8.695965160001004057e-02 2.058304530375113406e-04 1.979257646372192188e+13 5.824540344225002941e-02 8.010117214867149005e-03 8.871231334077711250e+14
9.999999999999999547e-07 2.007014127713416252e-01 7.814572458997942617e-03 4.197879923482452869e+09 2.074549426921532547e-01 6.532179036401480508e-04 5.857720744793420898e+12 1.182012389774841354e-01 4.769896337456090013e-02 1.220361806111635000e+15
1.000000000000000082e-05 3.942210390719741442e-01 2.140334698157638979e-02 1.397603868323371649e+09 2.750417156515087558e-01 2.086351941280227117e-03 1.083020173306555420e+12 1.293431226513701293e-01 1.732988288751462214e-01 7.918390789510123750e+14
1.000000000000000048e-04 4.372634462068873407e-01 6.764129500227697434e-02 2.793582305384507179e+08 1.980141043244496579e-01 6.674771184518834589e-03 2.305851219864526367e+11 1.742445550382049901e-01 5.539071176137532193e-01 1.604756936804735312e+14
1.000000000000000021e-03 5.475905004008230215e-01 2.178876774185701526e-01 4.083267576471095532e+07 2.671645740055519913e-01 2.164485875740135290e-02 6.137196138161643982e+10 2.927286213886623467e-01 2.453518380349717809e+00 7.560087320154468750e+13
1.000000000000000021e-02 9.245495405996436711e-01 7.213146477183991490e-01 7.859045721408510581e+06 4.632806639542667582e-01 7.313822435641890995e-02 7.074621697856753540e+10 5.399458198031704681e-01 1.311909844142367376e+01 1.425652728529099062e+14
1.000000000000000056e-01 1.514051990739023967e+00 2.625080439770015150e+00 5.803041512118844315e+06 1.803631013278309103e+00 2.557538570193469418e-01 1.436733716558109131e+11 1.114593219198651841e+00 7.593332538223097572e+01 3.166092392270433125e+14
1.000000000000000000e+00 1.595555568220288212e+00 1.114616398941923059e+01 7.698145616663689725e+06 2.603275922760801109e+00 8.512363857950596691e-01 2.588261922874723816e+11 2.199673269932733710e+00 3.812910070513142387e+02 8.879841877562947500e+14
1.000000000000000000e+01 1.589846997913710203e+00 4.840966595032400477e+01 9.931743129807587713e+06 3.792448713174451314e+00 2.761136199243765965e+00 4.873304474090044556e+11 4.907742247882596942e+00 2.251561566265167585e+03 2.241160151435207750e+15
