gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 5.870305487970248759e-01 9.526408849224093922e-03 1.319983518528282385e-01 1.671391882690302351e-04 1.246649239074590493e-01 1.571244188926797954e-05
1.000000000000000030e-13 5.870303390962686718e-01 9.526413482215787334e-03 1.317939509304502099e-01 1.671297781524909757e-04 1.145691719890387650e-01 2.593225641059001090e-05
9.999999999999999799e-13 5.870290720490849434e-01 9.526458297707584080e-03 1.308286333352108033e-01 1.671129566128054305e-04 8.501062424514690963e-02 5.955907150155495165e-05
9.999999999999999395e-12 5.870633094824151410e-01 9.526796892623626625e-03 1.251254769154500901e-01 1.671197361422716216e-04 6.359150103310783064e-02 1.672172580374288215e-04
1.000000000000000036e-10 5.880120178420629173e-01 9.527725567486431887e-03 1.043045328485122519e-01 1.675592719071446266e-04 7.982311271560040000e-02 5.187958923202881439e-04
1.000000000000000062e-09 5.945973149826861981e-01 9.529001864868899205e-03 7.173858301445147634e-02 1.755115003291300626e-04 9.432457740559517523e-02 1.365544799403096672e-03
1.000000000000000021e-08 6.098799179200748988e-01 9.584039187590272235e-03 1.240676420441484823e-01 2.525054668618644167e-04 1.534588750745077002e-01 6.119005432408293477e-03
9.999999999999999547e-08 6.292280727312525856e-01 1.034768711621393035e-02 2.512145231030631365e-01 6.389622937294872108e-04 2.406327115760956425e-01 2.644785066113908636e-02
9.999999999999999547e-07 5.766175757384885969e-01 1.643800533265581121e-02 6.674818102336945724e-01 1.991897026630949034e-03 3.128706589357030388e-01 1.013444658328435805e-01
1.000000000000000082e-05 4.612785265022359971e-01 4.431570926459794946e-02 8.186742746192489095e-01 6.341753089954643013e-03 4.055607690741372950e-01 3.541399533033282587e-01
1.000000000000000048e-04 5.263747867428468785e-01 1.403652534616148251e-01 7.750092042040561680e-01 2.021925817785340598e-02 6.445825082764399250e-01 1.419717106779954330e+00
1.000000000000000021e-03 6.949696555812947540e-01 4.513617947210017411e-01 1.085664154490926236e+00 6.548444677993671414e-02 1.139895792828412135e+00 7.731464495691500183e+00
1.000000000000000021e-02 7.367321784112512706e-01 1.491546529578818170e+00 1.875317965764326411e+00 2.257091544252401993e-01 2.356493951013522992e+00 4.907268345167053525e+01
1.000000000000000056e-01 9.721457802987699681e-01 5.757969332848632327e+00 2.299946525779775097e+00 8.087400875848449466e-01 3.683000414471341077e+00 2.303750332139638033e+02
1.000000000000000000e+00 1.255926878714608952e+00 2.702539888696153270e+01 2.455071740070149833e+00 2.737127022078432059e+00 5.953830255816741968e+00 9.912053113075967303e+02
1.000000000000000000e+01 1.435069880066500936e+00 1.113909665210721869e+02 2.543726165350634005e+00 9.057180918443293649e+00 9.278843307749166769e+00 4.235547222473071088e+03
