gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 7.850543265139074689e-02 3.162669634301051858e-02 9.150998180877802894e+06 1.262666471717988070e-02 7.986552366816834780e-04 8.045781467351954460e+09 1.964823658486408720e-03 5.172910441738490586e-04 3.137663823163672363e+12
9.999999999999999395e-12 7.850543368291586221e-02 3.162669611059146929e-02 9.150998134129984304e+06 1.262709978107832455e-02 7.986653581662493152e-04 8.045632936420700073e+09 1.963457817560621682e-03 5.170278957221570177e-04 3.136959460640518555e+12
1.000000000000000036e-10 7.850544401036206599e-02 3.162669378603595594e-02 9.150997666650967672e+06 1.263152725500606144e-02 7.987666887168165574e-04 8.044149471151177406e+09 1.965787447926226582e-03 5.182891467964824243e-04 3.129398778322019043e+12
1.000000000000000062e-09 7.850554723643393684e-02 3.162667053950476287e-02 9.150992991864344105e+06 1.267598685088834783e-02 7.997821851637283925e-04 8.029356541642560005e+09 1.978627918190474771e-03 5.283802682315329657e-04 3.057369006970658203e+12
1.000000000000000021e-08 7.850657981354160209e-02 3.162643808535928885e-02 9.150946244263032451e+06 1.313026908618492548e-02 8.101380781043071621e-04 7.885642111451374054e+09 2.144031908704570593e-03 6.388795052972655840e-04 2.531414022931742188e+12
9.999999999999999547e-08 7.851693099363563078e-02 3.162411442364261582e-02 9.150478794681329280e+06 1.784381172741688129e-02 9.261279671883739916e-04 6.768872133224316597e+09 3.548778074588931648e-03 1.754623691221702565e-03 1.158830355865320801e+12
9.999999999999999547e-07 7.862297965366119024e-02 3.160096600455241517e-02 9.145806940174212679e+06 4.177298380593013477e-02 1.967348428412463331e-03 3.532868700114613533e+09 8.321084603478941591e-03 1.018757301987174325e-02 3.010162968135704346e+11
1.000000000000000082e-05 7.993169883864227609e-02 3.137835721812577694e-02 9.099351025143109262e+06 7.377372342783204695e-02 6.291391159954463214e-03 1.078751398467926741e+09 1.738296119704960466e-02 5.945621105173923282e-02 6.381502153484573364e+10
1.000000000000000048e-04 1.111266090827970898e-01 3.008411836544005666e-02 8.659634854316603392e+06 8.474689120928188824e-02 2.056550379554499333e-02 2.730333119955498576e+08 3.456966778982668853e-02 3.270742215537161268e-01 1.476910276762331009e+10
1.000000000000000021e-03 5.676210662498899495e-01 7.353718593062930076e-02 5.843911843999882229e+06 1.217670307537546126e-01 7.096212712726625294e-02 7.497959279704611003e+07 5.724200805754938587e-02 1.578968253430555579e+00 5.719526125795526505e+09
1.000000000000000021e-02 2.208335721431461618e+00 5.579030240605304947e-01 1.402754164929674007e+06 2.192099455845502309e-01 2.613104835894312639e-01 9.196171953309096396e+07 6.688903681669876311e-02 5.771857091085335512e+00 1.318965774309159660e+10
1.000000000000000056e-01 4.325295743363401613e+00 3.109069893603976897e+00 2.057037162543188606e+05 4.060509081035663104e-01 9.845538989980381350e-01 5.927467083952734470e+08 6.072605303936323695e-02 2.044630775654263033e+01 6.503286713189294434e+10
1.000000000000000000e+00 1.223123260596743478e+01 1.555807590718715083e+01 6.815112795630541223e+04 9.221294207479407978e-01 3.829678244714479707e+00 3.065925494416282177e+09 2.740250863943017312e-01 1.870396603566173042e+02 3.744143363142539062e+11
1.000000000000000000e+01 1.932976802147432593e+01 5.871916408115983899e+01 1.991038489260461211e+04 2.214428127459043161e+00 1.441932656628976517e+01 1.028703586726116371e+10 8.401415049289548964e-01 1.441628003819352671e+03 2.060821121000218018e+12
