gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 9.352233984861563210e-01 1.790135364049036740e-02 9.349221724197381592e+10 1.650869946539776645e-01 4.734652795593811319e-04 6.639924926662812500e+13 2.065781566624786889e-02 8.059351860984630296e-05 1.347362214892186094e+14
9.999999999999999395e-12 8.918328411615489282e-01 1.788495739676344148e-02 3.777047665750180054e+10 1.200970741241247502e-01 4.734188066024369959e-04 3.215642178307550000e+13 4.865765706850770644e-02 2.482753855170866282e-04 1.119861744001107812e+14
1.000000000000000036e-10 6.918393434887450955e-01 1.783397994299480704e-02 2.078660544618114853e+10 5.842366267842275668e-02 4.731876144058104841e-04 7.592473714874637695e+12 1.971951288229675803e-03 3.952109428445486021e-05 2.001063967502559375e+14
1.000000000000000062e-09 3.613293853807090783e-01 1.774165498594065110e-02 6.339578525281815529e+09 2.637969883426075773e-02 4.731343702823487827e-04 1.259731902181363037e+12 6.687772614554509960e-04 3.845297584680233498e-05 1.585670757785152500e+14
1.000000000000000021e-08 1.889923669903350312e-01 1.765750601824125562e-02 1.220595699312011719e+09 1.253816196244193944e-02 4.760486463950804937e-04 2.231933074707816162e+11 3.271784998047177042e-04 4.980888687075712561e-05 3.027907354833140234e+13
9.999999999999999547e-08 1.192526181354777726e-01 1.762908708283481701e-02 2.229859721285476685e+08 1.028504224260945801e-02 5.106821748100824664e-04 3.928978853095712280e+10 1.320458954097208188e-03 2.591685914029008770e-04 5.374642745326293945e+12
9.999999999999999547e-07 8.222160859158017532e-02 1.872549188560928071e-02 4.150484544202868640e+07 1.281300590982070893e-02 8.354914837729025432e-04 7.371582907336723328e+09 3.776086668374221533e-03 1.925853207629126288e-03 1.030092400568711426e+12
1.000000000000000082e-05 7.850543265139074689e-02 3.162669634301051858e-02 9.150998180877802894e+06 1.817330229225273125e-02 2.406354277080033702e-03 1.562213886250735521e+09 9.702723934964805133e-03 1.328447541499908936e-02 2.048444845002573853e+11
1.000000000000000048e-04 1.144616461596319468e-01 1.140678095999349828e-01 5.242566593510859646e+06 3.259542562374859870e-02 7.896271788104019390e-03 3.457181881623538136e+08 2.214789157033831071e-02 8.383920907362464592e-02 4.283352271348665619e+10
1.000000000000000021e-03 2.292571436393185114e-01 4.346713494256642663e-01 2.292570418323457241e+06 6.133215986091477417e-02 2.832415118326534267e-02 9.705570712372753024e+07 4.566620757872441594e-02 4.816673522896234849e-01 9.790295132306720734e+09
1.000000000000000021e-02 5.297317454233750889e-01 1.510158760043003978e+00 6.158101096019445686e+05 9.267362944620380349e-02 1.275382796126662832e-01 5.626181743708914518e+07 7.088082091953422370e-02 2.175405485227428048e+00 4.682709830414640427e+09
1.000000000000000056e-01 7.807167928461004047e-01 6.180729267492973023e+00 4.963621021778061986e+05 2.405708797833413515e-01 6.215625323951435854e-01 2.668572085561646521e+08 7.286212435198372028e-02 6.496295863574682805e+00 1.397725306561295700e+10
1.000000000000000000e+00 8.178799764282307372e-01 3.192716423581788021e+01 7.453943092856470030e+05 3.751191916587841013e-01 2.397210938937228697e+00 1.652580392180649281e+09 7.999706419655645828e-02 1.725518458762576302e+01 7.268333918496218872e+10
1.000000000000000000e+01 9.664725273588143928e-01 1.328773291170466848e+02 1.433972941497653723e+06 5.268560881683173047e-01 8.284243437978416225e+00 7.311085683967372894e+09 1.337075090553954404e-01 7.154084199555049395e+01 4.349684598196328125e+11
