k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.342921528441278101e-01 3.032701711094870634e-02
2.000000000000000000e+00 9.262307023298075315e-01 5.846266543070993693e-02
3.000000000000000000e+00 1.450653850102839870e+00 9.562635787728676617e-02
4.000000000000000000e+00 2.003343611235793631e+00 1.335475885145500641e-01
5.000000000000000000e+00 2.472132933146627742e+00 1.635527617394304523e-01
6.000000000000000000e+00 2.972699876337308034e+00 1.973876208623162598e-01
7.000000000000000000e+00 3.483728853727217967e+00 2.316225688833142560e-01
8.000000000000000000e+00 3.969655031890128694e+00 2.632698028768832299e-01
9.000000000000000000e+00 4.472403462080187353e+00 2.974104359295109412e-01
1.000000000000000000e+01 4.971469053813638794e+00 3.292588583466636853e-01
