k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.342928826498408390e-01 3.032888316449467575e-02
2.000000000000000000e+00 9.262320272336989069e-01 5.846475561154158146e-02
3.000000000000000000e+00 1.450656177936140434e+00 9.562948541765518840e-02
4.000000000000000000e+00 2.003346790824823032e+00 1.335528061698387225e-01
5.000000000000000000e+00 2.472136957909924160e+00 1.635589057504512889e-01
6.000000000000000000e+00 2.972704563540760070e+00 1.973935933769122297e-01
7.000000000000000000e+00 3.483734287161728727e+00 2.316302990097522940e-01
8.000000000000000000e+00 3.969661085060788519e+00 2.632784499642337739e-01
9.000000000000000000e+00 4.472410187598485187e+00 2.974205897897950757e-01
1.000000000000000000e+01 4.971476535880147374e+00 3.292696889003914329e-01
